"PUNTO","Q1","Q2","Q3","Q4","Media","CoeficienteVar","Salto","Cluster"
269,60.0333333333333,60.05,60.0666666666667,1199.71666666667,60.3244364064603,0.304188585642106,0.0033458511663998,1
225,60.05,60.0666666666667,60.0833333333333,1198.63333333333,95.5531448250861,1.46260868091586,0.0034105909952203,1
226,60.05,60.0666666666667,60.1,2195.43333333333,108.493301361386,1.65823112006064,0.00626103277334055,1
227,15.05,15.05,15.0666666666667,41778.55,33.0868207929184,13.1568823831758,0.118908993466467,2
228,15.05,15.0666666666667,15.0833333333333,76716.6333333333,73.8039838435374,17.2897671791558,0.265169557369427,2
229,60.0666666666667,60.0833333333333,60.1166666666667,83483.9666666667,144.94242612538,11.8137497649068,0.238599914516239,1
230,60.0666666666667,60.0833333333333,60.1166666666667,7218.86666666667,120.444812362031,3.62887211475191,0.198460452883443,1
271,15.0166666666667,15.0166666666667,15.0166666666667,134.833333333333,15.0119945759369,0.261622678720452,0.00664327423912338,2
270,15.0333333333333,15.0333333333333,15.0666666666667,72319.3333333333,44.5804123414071,21.4984565426638,0.28066127541778,2
233,15.05,15.0666666666667,15.0666666666667,1229.26666666667,30.5621277972998,3.44789176206499,0.00371942796976954,2
234,60.05,60.0666666666667,60.1,2279.38333333333,112.079833785617,1.66035104023045,0.00689862298414789,1
235,15.0333333333333,15.0333333333333,15.0666666666667,2253.13333333333,29.4384688625071,3.46823017078271,0.00683183452555722,2
237,15.0333333333333,15.05,15.0833333333333,11407.0666666667,36.213746383976,4.44188062384409,0.0346031775564097,2
238,60.05,60.0666666666667,60.0833333333333,1897.26666666667,63.4354054400821,0.99674776788446,0.00575608918449268,1
244,15.0333333333333,15.0666666666667,15.1,2134.08333333333,38.125693962526,2.94832574118253,0.00647408482671603,2
241,60.05,60.0833333333333,60.1166666666667,2477.48333333333,110.457165996425,1.66641450268307,0.00751654092578012,1
239,60.05,60.0833333333333,60.2333333333333,2178.85,110.407297599107,1.66134919163677,0.00661127492654855,1
